date,open,high,low,close,volume,price_change,price_change_pct,label
2021-03-23,54511.66015625,55985.44140625,53470.6953125,54738.9453125,56435023914,227.28515625,0.4169477788761507,1
2021-03-24,54710.48828125,57262.3828125,52514.33203125,52774.265625,70567223787,-1936.22265625,-3.5390337704472086,0
2021-03-25,52726.74609375,53392.38671875,50856.5703125,51704.16015625,67999812841,-1022.5859375,-1.9394064933986377,0
2021-03-26,51683.01171875,55137.3125,51579.85546875,55137.3125,56652197978,3454.30078125,6.683629042455394,1
2021-03-27,55137.56640625,56568.21484375,54242.91015625,55973.51171875,47266542233,835.9453125,1.5161084664869127,1
2021-03-28,55974.94140625,56610.3125,55071.11328125,55950.74609375,47686580918,-24.1953125,-0.04322525739580037,0
2021-03-29,55947.8984375,58342.09765625,55139.33984375,57750.19921875,57625587027,1802.30078125,3.221391386601178,1
2021-03-30,57750.1328125,59447.22265625,57251.55078125,58917.69140625,54414116432,1167.55859375,2.021741833115373,1
2021-03-31,58930.27734375,59930.02734375,57726.41796875,58918.83203125,65520826225,-11.4453125,-0.01942178624620687,0
2021-04-01,58926.5625,59586.0703125,58505.27734375,59095.80859375,61669163792,169.24609375,0.28721528385437384,1
2021-04-02,59098.87890625,60267.1875,58869.28125,59384.3125,58727860620,285.43359375,0.4829763254947531,1
2021-04-03,59397.41015625,60110.26953125,57603.890625,57603.890625,59641344484,-1793.51953125,-3.019524801724507,0
2021-04-04,57604.83984375,58913.74609375,57168.67578125,58758.5546875,50749662970,1153.71484375,2.0028088731422375,1
2021-04-05,58760.875,59891.296875,57694.82421875,59057.87890625,60706272115,297.00390625,0.5054450027335367,1
2021-04-06,59171.93359375,59479.578125,57646.80859375,58192.359375,66058027988,-979.57421875,-1.6554710303627242,0
2021-04-07,58186.5078125,58731.14453125,55604.0234375,56048.9375,75645303584,-2137.5703125,-3.6736528670668798,0
2021-04-08,56099.9140625,58338.73828125,55879.0859375,58323.953125,53053855641,2224.0390625,3.9644250791939437,1
2021-04-09,58326.5625,58937.046875,57807.86328125,58245.00390625,46655208546,-81.55859375,-0.13983096252243563,0
2021-04-10,58253.77734375,61276.6640625,58038.70703125,59793.234375,58238470525,1539.45703125,2.6426733191322693,1
2021-04-11,59846.23046875,60790.5546875,59289.796875,60204.96484375,46280252580,358.734375,0.5994268514327246,1
